,ids,mols,X,y
160,,N#CC1(C2SCC[S+]2[O-])C2=C(C(=O)c3ccccc3C2=O)N2CCC[C@H]21,,5.676666666666667
161,,COc1ccc2[nH]c3c([N+](=O)[O-])ccc(NCCCN(C)C)c3/c(=N/CCCN(C)C)c2c1,,5.76
162,,O=C1C(c2ccccc2)=[N+]([O-])c2ccc(Cl)cc12,,4.49
163,,CCOC(=O)C(CO)c1nc2c([nH]c1=O)c(=O)n(C)c(=O)n2C,,4.0
164,,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)o1,,5.140000000000001
165,,COc1c(Br)cc(/C=C(\C#N)c2ccccn2)cc1Br,,4.0
166,,Nc1nc(N)c(CCCCc2ccccc2)c(C=O)n1,,4.38
167,,COc1ccc(-c2c(-c3cc(OC)c4OCCOc4c3)onc2)cc1,,7.32
168,,CCCCC(=O)OC[n+]1ccc2c(C)c3[nH]c4ccccc4c3c(C)c2c1,,6.57
169,,Cc1ccc(CCCCCOc2ccc(C3=NCCO3)cc2)s1,,4.0
170,,O=C1N=C(NCc2ccccc2Br)S/C1=C\c1ccc2ncccc2c1,,5.22
171,,CC12CC(c3ccccc3O1)C(C(=O)Nc1ccc(Cl)cc1Cl)C(=O)N2,,4.63
172,,COc1cc([C@H]2c3cc4c(cc3[C@@H](Nc3ccccc3)[C@@H]3COC[C@H]23)OCO4)cc(OC)c1O,,6.46
173,,N=C(NN)SCc1ccc(N=C=S)cc1,,4.0
174,,CC(=O)NCCC1CN(C(=O)/C=C\I)c2ccccc21,,4.865
175,,CCO/C=N/NC(=O)CSc1nc2ccc(I)cc2c(=O)n1Cc1ccccc1,,4.0
176,,O=C(Nc1ccccc1F)c1ccc(NC2=C(Cl)C(=O)N(Cc3ccccc3)C2=O)cc1,,4.87
177,,O=C1c2c3c(c4ccccc4cc3ccc2)C(=O)N1CCNCCN1C(=O)c2cccc3cc4ccccc4c(c23)C1=O,,6.73
178,,C=C1C(=O)O[C@@H]2[C@H]1C[C@H]1O[C@]1(C)CC/C=C(\C)CCC[C@H](C)[C@H]2OC(C)=O,,5.135
179,,COC1=CC([C@H]2c3cc4c(cc3[C@@H](Nc3ccc(F)cc3)[C@@H]3COC(=O)[C@H]23)OCO4)=CC(=O)C1=O,,5.865
180,,Nc1nc(Cl)c(N)c(NCC2(CO)CC(CCc3ccccc3)C2)n1,,4.57
181,,CC(NC(C#N)CC12CC3CC(CC(C3)C1)C2)c1ccccc1,,4.0
182,,COc1ccc(-c2c(OC)c(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc1O,,7.220000000000001
183,,S=C(Nc1ccc(Br)cc1)Nc1ccc(Br)cc1,,5.24
