DeepBio_id,smiles,sweet
409,CC12CCCC(C)(C1CCC13CC(=C)C(C1)(CCC23)OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C(=O)OC1OC(CO)C(O)C(O)C1O,1
3077,CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,0
461,COc1ccc(cc1OC(=O)Nc1ccc(cc1)[N+]([O-])=O)C1OCc2ccccc2S1,1
406,CCC(=O)C=Cc1ccc(OC)cc1,1
25853,CCCCC=CCCCCCCCC(=O)OCC(O)CO,0
414,CCOC(=O)C(O)=C,1
467,CN(C)c1ccc(cc1)C(=O)c1ccccc1C(O)=O,1
471,COc1ccc(cc1)S(=O)c1ccccc1C(O)=O,1
512,COc1ccc(cc1O)C1Cc2cccc(O)c2CO1,1
511,COc1ccc(cc1O)C1Cc2cccc(O)c2C(=O)N1,1
454,COc1ccc(cc1S)C1OCc2ccccc2S1,1
476,COc1ccc(cc1O)C1COc2ccccc2S1,1
541,CC(NC(=O)C(N)CC(O)=O)NC(=O)C(C)(C)C,1
422,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,1
412,OC1C(CCl)OC(CCl)(OC2OC(CCl)C(Cl)C(O)C2O)C1O,1
488,COc1ccc(cc1OC(C)=O)C1Cc2cccc(OC(C)=O)c2C(=O)O1,1
474,COc1cc2CCC3(SCc4ccccc4S3)c2cc1O,1
419,COC1OC(CO)CC(O)C1O,1
520,OCC1OCC(O)C1O,1
469,OC(=O)c1ccccc1C(=O)c1ccc(O)c(O)c1,1
505,COc1ccc(CCc2ccc(O)cc2)cc1O,1
462,COc1ccc(C2OCc3ccccc3S2)c(C=Cc2ccc(cc2)[N+]([O-])=O)c1O,1
506,COc1ccc(CCc2ccc(F)cc2)cc1O,1
515,CCCOc1ccc(cc1O)C1CC(=O)c2c(O)cccc2O1,1
435,CC(C)CCOC(=O)CCCc1ccco1,1
519,OCCO,1
527,COC1C(CO)OC(OC2(CO)OC(CO)C(O)C2O)C(O)C1O,1
460,COc1ccc(cc1OC(=O)Nc1ccccc1)C1OCc2ccccc2S1,1
408,CCCOC(=O)C=Cc1ccco1,1
