NSC #,LC:A549/ATCC,smiles
109072,5.75,CCCC[Sn]1(CCCC)OC(=O)c2cccc([N+](=O)[O-])c2C(=O)O1
109084,4.84,c1ccc2nc(OCCN3CC3)ccc2c1
109128,4.56,CC(=O)OC1CCC2(C)C(CCC3C2CC(=O)C2(C)C3CC(N3CC3)C2C(C)=O)C1
109131,5.165,CSc1ncnc2c1ncn2CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
109154,5.734999999999999,O=C(/C(=C/c1ccccc1)CN1CCCCC1)c1ccccc1
109155,5.56,C=C(C(=O)c1ccccc1)C(NC(C)(C)C)c1ccccc1
109156,5.56,CC(C)(C)NC/C(=C\c1ccccc1)C(=O)c1ccccc1
109188,4.87,Nc1ccc(C(=O)O)cc1.Nc1nc(N)c2[nH]cnc2n1.O=S(=O)(O)O
109248,4.0,CC(=O)c1ccc(O)c(CN(C2CCCCC2)C2CCCCC2)c1O
109254,6.34,CC(C)(C)CC(C)(C)N(CSc1ccc(Cl)cc1)CSc1ccc(Cl)cc1
109292,4.84,CC#CC#Cc1cccc(=O)o1
109351,5.1825,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3O
109451,4.32,Cc1cc(Cl)nc2ccc(Cc3ccc4nc(Cl)cc(C)c4c3)cc12
109509,5.4399999999999995,CC(NCCN(C)C)C1CCC2C3CCc4cc(O)ccc4C3CCC12C
109555,4.715,C/C(=N/NC(=N)N)c1ccc(NC(=O)Nc2ccc(/C(C)=N/NC(=N)N)cc2)cc1.CS(=O)(=O)O
109593,4.0,O=c1oc2cc(/N=C/c3ccc4c(c3)OCO4)ccc2c2ccccc12
109724,3.396521739130435,O=P1(NCCCl)OCCCN1CCCl
109825,5.47,NC1(C(=O)O)CSSC1
109834,5.140000000000001,CC1(C)N=C(N)N=C(N)N1c1cccc(OCc2cccc(N)c2)c1.Cl
109836,5.375,CC1(C)N=C(N)N=C(N)N1c1cccc(OCc2cccc([N+](=O)[O-])c2)c1.[Cl-]
109838,5.41,CC1(C)N=C(N)N=C(N)N1c1cccc(/C=C/C=C/c2cccc([N+](=O)[O-])c2)c1.[Cl-]
109874,5.16,COC(=O)Nc1nc2ccccc2[nH]1
110101,5.02,CCCCCCCCCCCCSC1=CC(=O)C=CC1=O
110275,4.0,Cc1nc(N)nc2ccccc12
110363,5.35,Clc1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c(Cl)c1.[Cl-]
110383,6.2,Cc1cc2c3ccccc3ccc2[n+]2ccccc12.[Cl-]
110407,5.33,COc1ccc(/C(=C(\c2ccccc2)[N+](=O)[O-])c2ccc(OCCN3CCCC3)cc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
11051,4.51,CCCCN(CCCC)CCCCNc1c(C)cnc2cc(Cl)ccc12.O=P(O)(O)O
110602,4.57,C=C=C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]
110609,5.34,C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]
110630,5.345000000000001,CCCCC(=O)N/N=C/c1c(O)ccc2ccccc12
110800,4.0,O=NN(CCCl)C(=O)NC1CCSc2ccccc21
111041,5.61,N=C1C=C(N)C(=O)c2[nH]c(=O)ccc21
111062,6.255,CC1(C)N=C(N)N=C(N)N1c1cccc(OCCOc2cccc([N+](=O)[O-])c2)c1.[Cl-]
111118,5.52,S=C(Sc1ccc(Cl)cc1)Sc1ccc(Cl)cc1
111119,4.0,CCOC(=O)c1cc2c(OC)cc(OC)cc2oc1=O
111135,4.3,CCN(CC)c1ccc(/N=C2/C=C(C(=O)Nc3ccc(S(C)(=O)=O)cc3)C(=O)c3ccccc32)c(C)c1
111180,2.9,CC(=O)NC(CS)C(=O)O
111533,7.576666666666665,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(OC)ccc3nc2-1
111556,5.09,O=[N+]([O-])/C=C/c1ccc2ccccc2c1
111580,4.31,O=C1Nc2ccccc2/C1=N/N=c1\cccc[nH]1
111581,4.46,O=C1Nc2ccccc2/C1=N/Nc1ccccc1[N+](=O)[O-]
111650,4.0,Nc1ccc(S(=O)(=O)C23CC4CC(CC(C4)C2)C3)cc1
111654,4.0,Nc1ccc(SC23CC4CC(CC(C4)C2)C3)cc1
111702,6.18,CSc1ncnc2c1ncn2C1OC(CO)C(O)OC1O
112125,4.32,c1ccc(-c2nc(-c3ccccn3)nc(-c3ccccn3)n2)nc1
112147,4.8149999999999995,CC(=O)OC1CCC2(C)C(=CCC3C4CC(CN5CC5)C(=O)C4(C)CCC32)C1
112152,5.46,C/C=C1/C(=O)O[C@]23C=C[C@@H]4C(C(=O)OC)=CO[C@H](O[C@@H]12)[C@@H]43
11216,4.37,O=C1C(Br)=CC(=Nc2ccc(O)cc2)C=C1Br.[Na+]
112166,5.792857142857143,CC1(C)C(=O)C(O)=CC2C1=CCC1C2(C)C(=O)CC2(C)C(C(C)(O)C(=O)CC(O)C(C)(C)O)C(O)CC12C
112167,6.814285714285714,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
112200,4.74,CC1=C(Br)C(=O)C(C)=C(Br)C1=O.Cc1c(O)c(Br)c(C)c(O)c1Br
11225,5.49,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N.[Cl-]
112257,4.0,Cc1cc(C2(c3cc(C)c(O)c(C(=O)O)c3)OS(=O)(=O)c3ccccc32)cc(C(=O)O)c1O.[Na+]
11232,4.635,COc1ccccc1/N=N/c1c(O)ccc2ccccc12
11235,6.13,Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C.[Cl-]
11240,7.1850000000000005,CCNc1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)c2ccccc12.[Cl-]
11241,5.86,Nc1cc2c(nc3c4ccccc4c(N)cc3[n+]2-c2cccc3ccccc23)c2ccccc12.Nc1cc2c(nc3c4ccccc4ccc3[n+]2-c2cccc3ccccc23)c2ccccc12.[Cl-].[Cl-]
112535,5.35,CC1(C)N=C(N)N=C(N)N1c1cccc(OCCOc2ccc([N+](=O)[O-])cc2)c1.[Cl-]
112751,4.035,Oc1ccc(Cl)cc1/C=N/c1cnc2ccccc2c1
112758,1.7650000000000001,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1
112796,4.0,c1ccc(COC2NCCN2Cc2ccccc2)cc1
112846,7.24,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CC(=O)O)C(=O)O)cc3)ccc2n1
112849,5.73,N=C(N)Nc1ccc(/C=C2\C=Cc3ccccc32)cc1
112929,4.0,O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cccc31)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O
112938,4.4350000000000005,O=C(O)CCC(c1ccccc1)(c1ccccc1)c1ccccc1
112960,5.525,CCOC(=O)N(O)c1ccc(/C=C/c2ccccc2)cc1
112965,5.93,O=C(CF)N(O)c1ccc(/C=C/c2ccccc2)cc1
113053,5.3,COC(=O)/C=C/C=C(c1ccccc1)c1ccccc1
113112,4.0,CC1(C)CN1P(=O)(Nc1ncccn1)N1CC1(C)C
113130,5.3,CC(C)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]
113136,5.535,CC1=COC2=C(C)C(=O)C(=O)c3c(C)ccc1c32
113220,5.545,CC1(C)N=C(N)N=C(N)N1c1ccc(CCC(=O)Nc2ccc(S(=O)(=O)F)cc2)cc1.CCS(=O)(=O)O
113237,5.79,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1c2cc(OC)c(OC)cc2CCN1C(=O)C(N)Cc1ccccc1.[O-][Cl+3]([O-])([O-])O
113423,6.82,CCS(=O)(=O)O.Cc1cc(NC(=O)CCc2ccc(N3C(N)=NC(N)=NC3(C)C)cc2)ccc1S(=O)(=O)F
113452,6.18,O=C1C(O)=C(CCCc2ccc(C3CCCCCC3)cc2)C(=O)c2ccccc21
113455,5.41,O=C1C(O)=C(CCCc2ccc(C3CCCCC3)cc2)C(=O)c2ccccc21
113497,5.12,CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C
113764,5.126666666666668,O=C1NC(c2ccccc2)Nc2ccccc21
113802,5.59,N#Cc1c(-c2ccc(Cl)cc2)n(O)c2ccccc12
113908,5.48,CC1(C)N=C(N)N=C(N)N1c1ccc(CCC(=O)Nc2cccc(S(=O)(=O)F)c2)cc1.CCS(=O)(=O)O
113918,5.01,CC1(C)N=C(N)N=C(N)N1c1ccc(CCCC(=O)Nc2ccc(S(=O)(=O)F)cc2)cc1.CCS(=O)(=O)O
113926,4.0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
113943,5.706666666666667,NC(=O)c1c(Br)n(C2OC(CO)C(O)C2O)c2ncnc(N)c12
113951,5.946666666666666,N#Cc1c(Br)n(C2OC(CO)C(O)C2O)c2ncnc(N)c12
114016,4.77,Cc1c2c(c(C)c3c4c(oc13)CCCC4)C=NCC2
11420,5.04,CCCCCN(CCCCC)CC(C)(C)C(O)c1ccc(OC)c2ccccc12
114340,7.16,CC(C)=CC1CC(C)C2(CCC3(C)CC4C(C(=O)CC4(C)O)/C(C=O)=C\CC32)O1
114341,6.46,COc1cc(/C=N\O)nc(-c2ccccn2)c1
114345,6.73,COC(=O)C1c2cc3c(c(O)c2CCC1(C)O)C(=O)c1c(O)cc2c(c1C3=O)OC1OC2(C)C(O)C(N(C)C)C1O
114346,3.22,CCOC(=O)C(Cc1c[nH]c2cc(N(CCO)CCO)ccc12)(NC(C)=O)C(=O)OCC
114381,4.73,NS(=O)(=O)c1cc(Br)c(/N=N\c2ccc(O)c3ncccc23)c(Br)c1
114382,5.005000000000001,Cc1cc(Nc2ccc(/N=N/c3ccc(O)c4ncccc34)cc2)nc(C)n1
114384,5.78,O=S(=O)(Nc1ccccn1)c1ccc(/N=N/c2ccc(O)c3ncccc23)cc1
114512,5.105,CC(=O)O[Hg]CC1(C)COC(C)(C[Hg]OC(C)=O)CO1
114514,4.0,Br.CN(Cc1cnc(N)nc1N)c1ccc(C(=O)O)cc1
11452,4.73,O=[As]c1ccc(S(=O)(=O)Nc2ccccc2)cc1
114567,4.54,C=C1C(=O)OC2C1C(OC(=O)/C(C)=C/C)CC(O)(CCl)C1C(O)C=C(C)C21O
114568,4.55,C=C1C(=O)OC2C1C(OC(=O)/C(C)=C/C)CC(O)(CCl)C1C(OC(C)=O)C=C(C)C21O
114570,4.3,C=C1C(=O)OC2C1C(OC(=O)/C(C)=C/C)CC(O)(CCl)C1C(O)C3OC3(C)C21O
114572,4.0,CC1CCC2(O)C3(C)CC4(O)OC2(C1O)C1(O)C3(O)C(OC(=O)c2ccc[nH]2)C(O)(C(C)C)C41C
114575,6.08,COc1c(C)cc(N(CCCl)CCCl)c2ccccc12
11461,5.49,CN(C)C(=S)Sc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
114766,4.0,NC(=O)NC(=O)C1CCCCC1C(=O)O
